offer_id,extraction_date,lat,lng,area_m2,furnished,zip_code,main_category,rooms,build_year,state,city,sub_category,balcony,heat_type,offer_title,kitchen,rent_price,garden
45818163,2021-11-10 05:15:08,48.16563637166897,11.408794468614014,68.97,1,81245.0,Wohnung,3.0,2021.0,Bayern,München,Etagenwohnung,0,,TerraSELECT,1,1519.0,0
45818166,2021-11-10 05:15:08,48.404845491736005,9.267566835425795,,1,72805.0,Haus,8.0,1998.0,Baden-Württemberg,Lichtenstein,Einfamilienhaus,0,Zentralheizung,Individuelles Architektenhaus für die ganze Familie -     grün gelegen in Unterhausen.,0,1870.0,1
45031735,2021-11-10 05:15:08,51.26227,6.82257,35.3,1,40472.0,Wohnung,1.0,1992.0,Nordrhein-Westfalen,Düsseldorf,Apartment,0,Zentralheizung,Möbliertes  Einzimmerapartment  in Düsseldorf Rath,1,636.0,0
45818173,2021-11-10 05:15:08,53.48093,10.22799,99.0,1,21029.0,Wohnung,4.0,2009.0,Hamburg,Hamburg,Dachgeschosswohnung,1,Zentralheizung,Über den Dächern von Bergedorf / Helle 4 Zimmer DG-Wohnung über 2 Ebenen,0,1089.0,0
45162815,2021-11-10 05:15:08,48.16625715981172,11.567990827359756,91.0,1,80809.0,Wohnung,3.0,2021.0,Bayern,München,Etagenwohnung,1,Zentralheizung,Schicke 3-Zimmer-Wohnung mit Balkon - Neubau,1,2030.0,0
45064515,2021-11-10 05:15:08,51.46161,7.07677,63.0,1,45307.0,Wohnung,2.0,1965.0,Nordrhein-Westfalen,Essen,Wohnung,0,Zentralheizung,End of Summer - jetzt noch mit Sonnenschein ins neue Zuhause,0,425.0,0
44015943,2021-11-10 05:15:08,52.47361,13.29554,33.0,1,14199.0,Wohnung,1.0,,Berlin,Berlin,Apartment,0,,Möbliertes Apartment in ruhiger zentraler Lage,1,699.0,0
45064520,2021-11-10 05:15:08,51.46161,7.07677,67.0,1,45307.0,Wohnung,3.0,1965.0,Nordrhein-Westfalen,Essen,Wohnung,0,Zentralheizung,End of Summer - jetzt noch mit Sonnenschein ins neue Zuhause,0,450.0,0
45818192,2021-11-10 05:15:08,51.04431325059276,13.69901810864305,25.0,1,1159.0,Wohnung,1.0,2017.0,Sachsen,Dresden,Wohnung,0,,1-Raum-Apartment,1,335.0,0
44540241,2021-11-10 05:15:08,53.67295,10.06669,56.81,1,22399.0,Wohnung,1.0,2015.0,Hamburg,Hamburg,Dachgeschosswohnung,1,,Zauberhafte 1 1/2 Zimmer-Wohnung mit offener Einbauküche/ Süd- Balkon im Energiehaus in ruhiger Lage / ab sofort frei,1,806.0,0
43065686,2021-11-10 05:15:08,51.04777286145167,7.570994871180029,,1,51647.0,66810,,,Nordrhein-Westfalen,Gummersbach,Einfamilienhaus,0,,Zwei Tiefgaragenstellplätze -auch einzeln- ab sofort zu vermieten,0,70.0,0
45719902,2021-11-10 05:15:08,48.82095345071915,9.188620019521638,120.0,1,70376.0,Wohnung,4.0,1957.0,Baden-Württemberg,Stuttgart,Wohnung,0,Zentralheizung,4 - Zimmerwohnunng ideal als WG in Bad Cannstatt,0,1250.0,0
45818209,2021-11-10 05:15:08,50.10454,8.70164,42.03,1,60594.0,Wohnung,1.0,2014.0,Hessen,Frankfurt am Main,Etagenwohnung,0,,Perfekt für Studenten! 1-Zimmer-Wohnung mit toller Anbindung,1,795.0,0
45687145,2021-11-10 05:15:08,51.00488,13.766,47.0,1,1219.0,Wohnung,1.0,1995.0,Sachsen,Dresden,Etagenwohnung,0,Zentralheizung,1,0,350.0,0
45818220,2021-11-10 05:15:08,51.44572995995844,7.012185155719455,70.0,1,45128.0,Wohnung,2.0,1928.0,Nordrhein-Westfalen,Essen,Dachgeschosswohnung,0,Etagenheizung,Klasse 2,1,495.0,0
45031789,2021-11-10 05:15:08,51.26227,6.82257,37.4,1,40472.0,Wohnung,1.0,1992.0,Nordrhein-Westfalen,Düsseldorf,Apartment,1,Zentralheizung,Möbliertes  Einzimmerapartment  in Düsseldorf Rath mit Balkon,1,748.0,0
45752686,2021-11-10 05:15:08,51.032856025029965,13.784541213671996,70.0,1,1277.0,Wohnung,3.0,1947.0,Sachsen,Dresden,Wohnung,0,Etagenheizung,3-Zimmer-Wohnung mit Küche und Bad zur Miete,0,700.0,1
45752692,2021-11-10 05:15:08,52.36014040744774,9.818580985528827,70.0,1,30559.0,Wohnung,2.0,1911.0,Niedersachsen,Hannover,Apartment,1,Zentralheizung,Möblierte 2-Zimmer-Dachgeschosswohnung mit großem Balkon in Jugendstilhaus in Hannover-Kirchrode mit hervorragende Anbindung,1,950.0,0
45818228,2021-11-10 05:15:08,50.86283,7.03678,67.09,1,51143.0,Wohnung,2.0,1995.0,Nordrhein-Westfalen,Köln,Erdgeschosswohnung,0,Zentralheizung,2 Zimmerwohnung in schöner Denkmalhofanlage zu vermieten,0,737.0,0
45818236,2021-11-10 05:15:08,51.03427,13.80099,49.7,1,1277.0,Wohnung,2.0,1912.0,Sachsen,Dresden,Etagenwohnung,0,Zentralheizung,Modern Wohnen in heller 2-Raum-Wohnung,0,497.0,1
45654420,2021-11-10 05:15:08,51.04793,13.7164,78.74,1,1159.0,Wohnung,3.0,1996.0,Sachsen,Dresden,Wohnung,0,Zentralheizung,MIT LIFT - Wohnen in zentraler Lage unweit des Stadtzentrums - WG-geeignet,0,695.0,0
45588886,2021-11-10 05:15:08,51.44216,7.0181,74.0,1,45128.0,Wohnung,4.0,1955.0,Nordrhein-Westfalen,Essen,Wohnung,0,Zentralheizung,Hier tobt das Stadtleben! toll renovierte Wohnung wartet auf Sie!,0,609.0,0
45588888,2021-11-10 05:15:08,51.02492,13.70817,52.0,1,1187.0,Wohnung,2.0,1910.0,Sachsen,Dresden,Wohnung,1,Zentralheizung,Schicke 2 Zimmer Wohnung in Dresden Plauen! Mit Balkon!,0,410.0,0
45588894,2021-11-10 05:15:08,51.05678,13.72691,117.17,1,1067.0,Wohnung,3.0,1893.0,Sachsen,Dresden,Maisonette,0,,www.r-o.de +++ Helle 3-Zimmerwohnung mit offener Galerie nahe dem Dresdner Zwinger,0,1025.0,0
45654437,2021-11-10 05:15:08,51.00477,13.84051,53.1,1,1259.0,Wohnung,2.0,1900.0,Sachsen,Dresden,Wohnung,0,Zentralheizung,Wohnen unweit der Elbauen - gemütliche 2 Zimmer Dachgeschoss-Wohnung in Großzschachwitz,0,360.0,0
45588908,2021-11-10 05:15:08,51.0447,13.69428,51.08,1,1159.0,Wohnung,2.0,1920.0,Sachsen,Dresden,Dachgeschosswohnung,0,,www.r-o.de +++ Wohnen in Löbtau -  Geräumige 2-Zimmerwohnung im Dachgeschoss,1,460.0,0
45588909,2021-11-10 05:15:08,51.04006,13.72842,31.7,1,1069.0,Wohnung,1.0,2018.0,Sachsen,Dresden,Wohnung,0,,www.r-o.de +++ Nahe dem Hauptbahnhof - Einmalige Lage für Pendler,0,424.0,0
38838707,2021-11-10 05:15:08,50.14754,8.83171,,1,63477.0,766175,,,Hessen,Maintal,Sonstiges Haus,0,,Lagern auf Zeit - in jeder Größe - keine langen Mietlaufzeit - leider keine Garage -,0,9.0,0
45818292,2021-11-10 05:15:08,50.07862904543384,8.58304972605247,128.0,1,60529.0,Wohnung,3.0,1995.0,Hessen,Frankfurt am Main,Wohnung,1,Zentralheizung,Hell und großzügig  und  direkt am Park,1,1350.0,0
45851060,2021-11-10 05:15:08,53.81191484389835,8.940435462132399,63.0,1,22111.0,Wohnung,2.0,,Hamburg,Hamburg,Wohnung,1,,Schöne Wohnung mit Balkon in Hamburg-Horn,1,770.0,0
44409278,2021-11-10 05:15:08,50.126174813866605,8.763054707347726,90.51,1,60314.0,Wohnung,2.0,2016.0,Hessen,Frankfurt am Main,Etagenwohnung,0,,THE EAST,1,1608.0,0
45752770,2021-11-10 05:15:08,48.15046,11.47553,62.0,1,81245.0,Wohnung,2.0,2021.0,Bayern,München,Wohnung,0,Zentralheizung,2 Zi. mit Einbauküche vom Vermieter,1,1380.0,0
45720008,2021-11-10 05:15:08,51.04803,13.71643,85.07,1,1159.0,Wohnung,3.0,1996.0,Sachsen,Dresden,Wohnung,1,Zentralheizung,Schöne 3 Zimmer Wohnung mit Balkon und Lift - zentrumsnah,0,795.0,0
45752782,2021-11-10 05:15:08,51.050310675644674,13.725819221039693,49.2,1,1067.0,Wohnung,1.0,1996.0,Sachsen,Dresden,Etagenwohnung,1,Zentralheizung,gepflegte 1,1,475.0,0
45359567,2021-11-10 05:15:08,52.42907261098209,13.611507347585547,133.0,1,12557.0,Wohnung,3.0,1998.0,Berlin,Berlin,Maisonette,0,Zentralheizung,Wassergrundstück - Maisonette in ruhiger Wohnlage,1,2395.0,0
45687248,2021-11-10 05:15:08,52.59550041570634,13.291288294841841,90.0,1,13435.0,Wohnung,3.0,,Berlin,Berlin,Etagenwohnung,1,,ERSTBEZUG - LICHTDURCHFLUTET IN RUHELAGE,0,1650.0,0
45818328,2021-11-10 05:15:08,50.10465,8.70017,149.11,1,60594.0,Wohnung,4.0,2121.0,Hessen,Frankfurt am Main,Maisonette,1,,Perfekt für Familien! 4-Zimmer-Townhouse mit EBK und Terrasse,1,1975.0,0
45851099,2021-11-10 05:15:08,48.15748,11.53485,68.21,1,80335.0,Wohnung,2.0,1897.0,Bayern,München,Etagenwohnung,1,Zentralheizung,Wohnung in München,1,1637.0,1
45818331,2021-11-10 05:15:08,53.61026340802959,9.94150041979876,51.0,1,20259.0,Wohnung,2.0,,Hamburg,Hamburg,Wohnung,0,,2 Zimmer Altbauwohnung in Eimsbüttel ab 01.11.2021 ohne Courtage! *offene Besichtigung am 07.11.2021 um 11,0,790.0,0
45654499,2021-11-10 05:15:08,53.57564,10.01402,108.0,1,22085.0,Wohnung,3.0,1953.0,Hamburg,Hamburg,Wohnung,1,Zentralheizung,Grosszügiges Wohnen in der Fährhausstrasse,1,1620.0,0
